"app_name","number_of_classes","time_taken"
"ApplicationLifecycle3.apk","329","71"
"ContentProvider1.apk","740","72"
"PI1.apk","850","73"
"ServiceEventSequence1.apk","532","74"
"SourceCodeSpecific1.apk","293","74"
"Reflection7.apk","329","74"
"IP1.apk","850","75"
"UnreachableSink1.apk","11","75"
"BroadcastReceiverLifecycle3.apk","517","76"
"SourceInNativeCode.apk","322","76"
"ListAccess1.apk","293","77"
"Button1.apk","293","77"
"LogNoLeak.apk","293","77"
"BroadcastReceiverLifecycle2.apk","517","78"
"IntentSource1.apk","516","78"
"DeviceId_Broadcast1.apk","1393","80"
"Library2.apk","328","80"
"DeviceId_contentProvider1.apk","1395","82"
"Button2.apk","295","82"
"SharedPreferences1.apk","14","82"
"Button3.apk","329","82"
"SendSMS.apk","456","83"
"StartProcessWithSecret1.apk","11","83"
"ActivitySavedState1.apk","11","83"
"AsyncTask1.apk","517","83"
"BroadcastReceiverLifecycle1.apk","290","84"
"LocationLeak1.apk","294","84"
"OnlyTelephony_Reverse.apk","320","84"
"FieldSourceTest.apk","6029","98"
"PrivateDataLeak1.apk","295","98"
"UnresolvableIntent1.apk","518","99"
"OnlyIntent.apk","320","99"
"OnlySMS.apk","321","99"
"OnlyTelephony_Dynamic.apk","320","100"
"StringFormatter1.apk","11","100"
"JavaThread2.apk","517","100"
"MethodOverride1.apk","293","101"
"LocationLeak2.apk","293","101"
"Obfuscation1.apk","328","101"
"OnlyTelephony_Substring.apk","320","102"
"MultiHandlers1.apk","331","102"
"PrivateDataLeak2.apk","293","102"
"Button4.apk","293","103"
"Button5.apk","293","103"
"PrivateDataLeak3.apk","327","103"
"JavaThread1.apk","517","104"
"LocationLeak3.apk","329","104"
